activity
5.316052869
6.148741651
5.504455662
6.167491087
5.271646218
5.251037139
5.920818754
5.310691141
5.307153081
5.801342913
5.619788758
5.492144128
5.074687909
5.872895202
5.077793723
4.317674381
4.770062314
4.45038376
5.4710833
6.142667504
5.280668713
5.804100348
7.397940009
7.15490196
7.15490196
7.301029996
4.602059991
7.22184875
7.251811973
6.602059991
7.397940009
6.677780705
5.292429824
4.920818754
4.709520187
5.283996656
4.825068406
5.231361899
5.307153081
4.953114809
5.11577123
5.372634143
4.9476909
5.105130343
5.207608311
4.565590792
5.521433504
5.326058001
4.891434976
5.013676223
4.937418016
5.210419288
5.455931956
4.180258703
6.187086643
5.484126156
5.970616222
6.283996656
5.311580178
5.675717545
5.537602002
5.910094889
5.273272791
6.568636236
7.22184875
7.15490196
4.709965389
5.886056648
5.455931956
5.920818754
5.301029996
4.853871964
4.756961951
4.677780705
